#0	1	2	3	4	5	6	7	8	9	10	11	12	13	14		15		16		17
#0_FRB	UV_FRB	LIGHT	B16_FF	B16_z	B16_bnd	L17_GRB	FB13_FF	FB13_bd	TYPEIAu	TYPEIAg	TYPEIAr	S10_SN	SL_L15	RandB		RandI		Blocal		Ilocal
999	999	999	0.798	1.496	0	999	999	999	0.32	0.33	0.34	999	999	1.16E-01	7.96E-03	7.58E-02	7.43E-02
999	999	999	0.525	0.937	0	999	999	999	0.36	0.36	0.34	999	999	5.26E-01	4.06E-01	2.66E-02	3.60E-02
999	999	999	0.419	0.758	0	999	999	999	0.36	0.38	0.35	999	999	7.87E-02	4.79E-01	2.77E-02	1.35E-01
999	999	999	0.955	2.088	0	999	999	999	0.37	0.39	0.35	999	999	3.58E-01	4.04E-01	8.77E-03	1.56E-01
999	999	999	0.693	1.949	0	999	999	999	0.38	0.4	0.37	999	999	1.45E-01	1.63E-02	1.54E-01	6.65E-01
999	999	999	0.93	0.689	0	999	999	999	0.41	0.41	0.37	999	999	8.00E-02	2.75E-02	1.29E-01	2.00E-01
999	999	999	0.531	999	0	999	999	999	0.43	0.41	0.39	999	999	1.77E-01	2.26E-02	3.48E-01	1.88E-01
999	999	999	0.914	0.542	0	999	999	999	0.44	0.42	0.39	999	999	4.95E-01	2.89E-02	5.49E-01	5.18E-01
999	999	999	0.393	3.44	1	999	999	999	0.47	0.43	0.41	999	999	5.48E-02	1.43E-01	2.23E-01	9.92E-02
999	999	999	0.778	1.261	0	999	999	999	0.49	0.43	0.42	999	999	7.28E-02	5.34E-02	3.69E-01	8.29E-02
999	999	999	0.781	0.836	0	999	999	999	0.5	0.43	0.43	999	999	5.33E-02	7.10E-02	1.69E-01	1.64E-01
999	999	999	0.799	2.9	0	999	999	999	0.52	0.45	0.43	999	999	7.69E-01	8.61E-02	2.31E-02	2.10E-02
999	999	999	999	999	999	999	999	999	0.52	0.45	0.43	999	999	3.61E-01	5.22E-02	5.88E-02	8.57E-02
999	999	999	999	999	999	999	999	999	0.58	0.46	0.45	999	999	7.44E-02	3.37E-02	3.25E-01	6.23E-01
999	999	999	999	999	999	999	999	999	0.62	0.47	0.45	999	999	2.60E-01	1.22E-01	1.17E-02	1.46E-02
999	999	999	999	999	999	999	999	999	0.62	0.48	0.46	999	999	1.84E-01	3.21E-01	5.92E-03	4.45E-02
999	999	999	999	999	999	999	999	999	0.64	0.48	0.46	999	999	4.88E-01	3.15E-02	2.59E-01	1.39E-01
999	999	999	999	999	999	999	999	999	0.64	0.49	0.47	999	999	2.03E-01	7.21E-02	1.43E-01	1.50E-02
999	999	999	999	999	999	999	999	999	0.64	0.5	0.47	999	999	6.58E-01	5.43E-02	5.51E-03	6.55E-01
999	999	999	999	999	999	999	999	999	0.69	0.51	0.47	999	999	3.70E-01	2.39E-01	2.66E-01	5.16E-02
999	999	999	999	999	999	999	999	999	0.69	0.52	0.48	999	999	6.61E-02	1.40E-01	2.39E-01	1.86E-01
999	999	999	999	999	999	999	999	999	0.7	0.52	0.48	999	999	1.88E-02	2.60E-01	2.33E-02	2.61E-01
999	999	999	999	999	999	999	999	999	0.72	0.53	0.49	999	999	2.00E-01	3.93E-02	3.16E-01	1.54E-01
999	999	999	999	999	999	999	999	999	0.72	0.53	0.52	999	999	1.36E-01	3.67E-01	3.51E-01	8.00E-02
999	999	999	999	999	999	999	999	999	0.73	0.54	0.53	999	999	5.44E-01	2.60E-01	3.79E-01	5.01E-01
999	999	999	999	999	999	999	999	999	0.73	0.57	0.53	999	999	4.23E-02	1.47E-01	2.54E-01	5.51E-02
999	999	999	999	999	999	999	999	999	0.75	0.59	0.54	999	999	5.08E-02	6.06E-02	1.12E-01	5.88E-01
999	999	999	999	999	999	999	999	999	0.79	0.6	0.57	999	999	4.04E-01	4.95E-01	2.72E-01	2.77E-01
999	999	999	999	999	999	999	999	999	0.8	0.62	0.59	999	999	6.54E-02	5.67E-02	4.34E-02	1.82E-01
999	999	999	999	999	999	999	999	999	0.81	0.62	0.61	999	999	9.21E-02	8.29E-01	2.65E-01	5.94E-02
999	999	999	999	999	999	999	999	999	0.81	0.62	0.61	999	999	8.12E-01	9.43E-03	3.11E-01	9.20E-02
999	999	999	999	999	999	999	999	999	0.84	0.63	0.62	999	999	9.25E-02	6.56E-02	2.84E-01	1.96E-01
999	999	999	999	999	999	999	999	999	0.84	0.64	0.63	999	999	2.14E-01	3.49E-02	1.62E-01	2.38E-02
999	999	999	999	999	999	999	999	999	0.84	0.65	0.64	999	999	8.52E-01	2.96E-01	1.51E-01	5.41E-01
999	999	999	999	999	999	999	999	999	0.85	0.67	0.64	999	999	2.30E-01	3.39E-02	4.47E-01	1.43E-01
999	999	999	999	999	999	999	999	999	0.85	0.68	0.67	999	999	3.26E-01	6.93E-01	2.05E-01	4.26E-02
999	999	999	999	999	999	999	999	999	0.85	0.69	0.69	999	999	6.92E-01	7.28E-02	2.97E-01	2.44E-01
999	999	999	999	999	999	999	999	999	0.85	0.71	0.71	999	999	2.43E-01	5.25E-02	2.77E-01	3.69E-02
999	999	999	999	999	999	999	999	999	0.88	0.72	0.71	999	999	3.27E-02	4.39E-01	4.22E-01	3.81E-01
999	999	999	999	999	999	999	999	999	0.89	0.72	0.72	999	999	4.18E-02	2.43E-01	1.44E-01	7.43E-02
999	999	999	999	999	999	999	999	999	0.91	0.72	0.72	999	999	9.42E-02	2.67E-03	3.79E-01	1.24E-01
999	999	999	999	999	999	999	999	999	0.93	0.73	0.72	999	999	3.46E-01	6.11E-02	1.67E-01	1.44E-01
999	999	999	999	999	999	999	999	999	0.93	0.73	0.73	999	999	2.45E-01	1.76E-01	8.76E-02	6.82E-02
999	999	999	999	999	999	999	999	999	0.93	0.74	0.73	999	999	7.61E-03	1.53E-02	7.04E-01	1.06E-02
999	999	999	999	999	999	999	999	999	0.93	0.74	0.74	999	999	1.76E-02	1.84E-02	4.13E-02	1.86E-01
999	999	999	999	999	999	999	999	999	0.95	0.74	0.75	999	999	6.92E-02	3.98E-02	5.48E-02	2.36E-01
999	999	999	999	999	999	999	999	999	0.96	0.75	0.77	999	999	4.67E-01	3.94E-01	4.91E-01	2.46E-01
999	999	999	999	999	999	999	999	999	0.96	0.75	0.78	999	999	2.49E-01	4.33E-02	1.48E-01	2.78E-01
999	999	999	999	999	999	999	999	999	0.97	0.77	0.78	999	999	1.68E-02	8.59E-02	3.65E-01	2.84E-01
999	999	999	999	999	999	999	999	999	999	0.79	0.8	999	999	3.18E-01	5.55E-02	3.12E-01	8.11E-02
999	999	999	999	999	999	999	999	999	999	0.8	0.82	999	999	2.89E-02	4.84E-02	1.39E-01	2.93E-01
999	999	999	999	999	999	999	999	999	999	0.81	0.83	999	999	1.91E-02	8.41E-02	3.17E-02	1.18E-01
999	999	999	999	999	999	999	999	999	999	0.81	0.83	999	999	8.57E-01	2.76E-01	1.69E-01	1.02E-01
999	999	999	999	999	999	999	999	999	999	0.84	0.86	999	999	1.41E-01	3.45E-01	3.42E-01	1.12E-01
999	999	999	999	999	999	999	999	999	999	0.85	0.87	999	999	7.28E-02	1.84E-02	4.61E-02	2.46E-01
999	999	999	999	999	999	999	999	999	999	0.87	0.87	999	999	7.02E-02	5.71E-02	3.44E-01	1.13E-01
999	999	999	999	999	999	999	999	999	999	0.88	0.89	999	999	3.59E-02	6.41E-02	1.04E-02	6.32E-02
999	999	999	999	999	999	999	999	999	999	0.91	0.9	999	999	6.46E-01	2.91E-02	1.29E-01	4.01E-01
999	999	999	999	999	999	999	999	999	999	0.91	0.9	999	999	6.39E-01	9.71E-02	9.37E-02	4.56E-02
999	999	999	999	999	999	999	999	999	999	0.93	0.9	999	999	4.16E-02	7.94E-01	1.73E-01	1.32E-01
999	999	999	999	999	999	999	999	999	999	0.93	0.92	999	999	1.10E-01	6.16E-02	3.04E-02	2.70E-01
999	999	999	999	999	999	999	999	999	999	999	999	999	999	3.00E-02	7.06E-03	1.94E-01	1.60E-01
999	999	999	999	999	999	999	999	999	999	999	999	999	999	3.98E-02	8.91E-01	1.02E-01	1.55E-01
999	999	999	999	999	999	999	999	999	999	999	999	999	999	5.44E-01	1.35E-01	1.37E-01	1.69E-01
999	999	999	999	999	999	999	999	999	999	999	999	999	999	9.76E-02	6.75E-01	5.01E-01	3.69E-02
